PaymentMethodID,AccountID,CardType,CardNumber,FirstNameOnCard,LastNameOnCard,CardExpirationDate,CVV,BillingStreetAddress,BillingCity,BillingState,BillingZipCode,BillingPhoneNo
12342330,123999,Amex,382938770912387,James,Smith,2024-09-01,2342,555 14th Avenue NE,Seattle,WA,98107,2061234766
12134532,245899,MasterCard,4349876520987630,John,Miller,2026-09-01,942,480 Sutter St,San Francisco,CA,94108,6502228211
12399000,457889,Discover,4209812349880980,William,Wilson,2025-12-01,234,188 Madison Ave,New York,NY,10016,9173103722
32883330,694500,Visa,4098123476987110,Linda,Lee,2025-04-01,927,3960 Forbes Ave ,Pittsburgh ,PA,15260,4127679987
31975689,234667,Amex,390812300098675,Helen,Clark,2027-12-01,2566,975 Bascom Mall ,Madison,WI,53706,6082383214
23902345,450988,Visa,4322098901239980,Ben,Young,2026-01-01,299,2034 Whitis Ave ,Austin,TX,78712,5129876552
32394749,238990,Visa,4989120987670090,Susan,Scott,2024-04-01,750,1515 Holcombe Blvd,Houston,TX,77030,7139753466
29402231,456998,Visa,5023981209871180,David,Harris,2024-07-01,343,107 S Indiana Ave,Bloomington,IN,47405,8127653566
89344569,679002,MasterCard,4990912988876120,Jenny,Lewis,2023-03-01,579,1156 High St,Santa Cruz,CA,95064,8314549854
12890649,123099,MasterCard,4920891234498720,Judy,Taylor,2021-04-01,940,3910 Chestnut St,Philadelphia,PA,19104,2157679888
